,State,Year,Quater,Transacion_type,Transacion_count,Transacion_amount
279,dadra-&-nagar-haveli-&-daman-&-diu,2023,4,dadra and nagar haveli,833,1306915.0
280,dadra-&-nagar-haveli-&-daman-&-diu,2023,4,daman,360,601684.0
281,dadra-&-nagar-haveli-&-daman-&-diu,2023,4,diu,14,65268.0
282,dadra-&-nagar-haveli-&-daman-&-diu,2024,4,dadra and nagar haveli,1045,1494562.0
283,dadra-&-nagar-haveli-&-daman-&-diu,2024,4,daman,437,748001.0
284,dadra-&-nagar-haveli-&-daman-&-diu,2024,4,diu,21,49966.0
285,delhi,2020,4,west,1383,1065762.0
286,delhi,2020,4,south east delhi,1240,965278.0
287,delhi,2020,4,south west,1094,1007667.0
288,delhi,2020,4,new delhi,1030,945117.0
289,delhi,2020,4,north west,993,770313.0
290,delhi,2020,4,central delhi,778,611387.0
291,delhi,2020,4,north,760,645843.0
292,delhi,2020,4,east,732,564969.0
293,delhi,2020,4,south,622,567678.0
294,delhi,2020,4,shahdara,578,464731.0
295,delhi,2021,4,west,5047,5302169.0
296,delhi,2021,4,south east delhi,3928,4127616.0
297,delhi,2021,4,north west,3819,4201220.0
298,delhi,2021,4,central delhi,3812,3661609.0
299,delhi,2021,4,new delhi,3386,3883912.0
300,delhi,2021,4,south west,3041,3508911.0
301,delhi,2021,4,north,2825,3116537.0
302,delhi,2021,4,east,2256,2417363.0
303,delhi,2021,4,shahdara,2078,2090727.0
304,delhi,2021,4,south,2057,2315999.0
305,delhi,2022,4,west,6947,8360376.0
306,delhi,2022,4,south east delhi,5868,7072604.0
307,delhi,2022,4,new delhi,5340,7125528.0
308,delhi,2022,4,north west,5085,6057907.0
309,delhi,2022,4,central delhi,4815,5765957.0
310,delhi,2022,4,south west,4149,5489366.0
311,delhi,2022,4,north,4013,5304295.0
312,delhi,2022,4,south,3527,4511956.0
313,delhi,2022,4,east,3297,3984005.0
314,delhi,2022,4,north east,2948,3363238.0
315,delhi,2023,4,west,7829,10545733.0
316,delhi,2023,4,south east delhi,7111,9746023.0
317,delhi,2023,4,new delhi,5952,8790140.0
318,delhi,2023,4,central delhi,5884,7718670.0
319,delhi,2023,4,north west,5426,7399787.0
320,delhi,2023,4,south west,5023,7264073.0
321,delhi,2023,4,north,4410,6111161.0
322,delhi,2023,4,south,4127,6172136.0
323,delhi,2023,4,east,3740,4742013.0
324,delhi,2023,4,shahdara,3426,4582842.0
325,delhi,2024,4,west,9538,13105331.0
326,delhi,2024,4,south east,8789,11891728.0
327,delhi,2024,4,new delhi,7568,11475253.0
328,delhi,2024,4,central delhi,7265,9684280.0
329,delhi,2024,4,north west,6893,9461832.0
330,delhi,2024,4,south west,5921,8998337.0
331,delhi,2024,4,north,5386,7334682.0
332,delhi,2024,4,south,4916,6929468.0
333,delhi,2024,4,east,4096,5612454.0
334,delhi,2024,4,north east,3839,4765826.0
335,goa,2020,4,north goa,351,398099.0
336,goa,2020,4,south goa,263,284265.0
337,goa,2021,4,north goa,1203,1604306.0
338,goa,2021,4,south goa,884,1133010.0
339,goa,2022,4,north goa,2517,3662258.0
340,goa,2022,4,south goa,1871,2528411.0
341,goa,2023,4,north goa,2725,4320025.0
342,goa,2023,4,south goa,2158,3090976.0
343,goa,2024,4,south goa,3426,4867109.0
344,goa,2024,4,north goa,3236,5036265.0
345,gujarat,2020,4,ahmadabad,2306,1404202.0
346,gujarat,2020,4,surat,1858,1147153.0
347,gujarat,2020,4,vadodara,748,468371.0
348,gujarat,2020,4,bharuch,524,356570.0
349,gujarat,2020,4,kachchh,503,291840.0
350,gujarat,2020,4,valsad,387,267121.0
351,gujarat,2020,4,gandhinagar,387,237333.0
352,gujarat,2020,4,mahesana,324,192309.0
353,gujarat,2020,4,banas kantha,321,174192.0
354,gujarat,2020,4,rajkot,321,181318.0
355,gujarat,2021,4,ahmadabad,4857,5269395.0
356,gujarat,2021,4,surat,3232,4111750.0
357,gujarat,2021,4,vadodara,1531,1938084.0
358,gujarat,2021,4,valsad,1030,1250430.0
359,gujarat,2021,4,bharuch,982,1253200.0
360,gujarat,2021,4,kachchh,937,1187041.0
361,gujarat,2021,4,gandhinagar,801,1076996.0
362,gujarat,2021,4,rajkot,698,782642.0
363,gujarat,2021,4,banas kantha,555,642556.0
364,gujarat,2021,4,mahesana,483,611027.0
365,gujarat,2022,4,ahmadabad,9650,12572383.0
366,gujarat,2022,4,surat,7288,8864843.0
367,gujarat,2022,4,vadodara,2574,3669216.0
368,gujarat,2022,4,kachchh,1696,2267368.0
369,gujarat,2022,4,gandhinagar,1681,2507697.0
370,gujarat,2022,4,valsad,1666,2409645.0
371,gujarat,2022,4,bharuch,1522,2134893.0
372,gujarat,2022,4,rajkot,1428,2034588.0
373,gujarat,2022,4,mahesana,837,1221962.0
374,gujarat,2022,4,banas kantha,806,1117875.0
375,gujarat,2023,4,ahmadabad,10344,16047139.0
376,gujarat,2023,4,surat,8196,11477882.0
377,gujarat,2023,4,vadodara,2756,4865088.0
378,gujarat,2023,4,rajkot,2109,3364383.0
379,gujarat,2023,4,valsad,2030,3301560.0
380,gujarat,2023,4,kachchh,1972,2767311.0
381,gujarat,2023,4,gandhinagar,1952,3618581.0
382,gujarat,2023,4,bharuch,1750,2901972.0
383,gujarat,2023,4,bhavnagar,971,1371224.0
384,gujarat,2023,4,banas kantha,955,1817338.0
385,gujarat,2024,4,ahmedabad,18268,25165090.0
386,gujarat,2024,4,surat,11616,14897974.0
387,gujarat,2024,4,rajkot,3682,5459568.0
388,gujarat,2024,4,vadodara,3482,5748869.0
389,gujarat,2024,4,gandhinagar,3082,5330046.0
390,gujarat,2024,4,valsad,2601,4056897.0
391,gujarat,2024,4,kachchh,2511,3190903.0
392,gujarat,2024,4,bharuch,2348,3655512.0
393,gujarat,2024,4,bhavnagar,1544,1903033.0
394,gujarat,2024,4,mahesana,1458,2462736.0
395,haryana,2020,4,gurugram,2380,1626450.0
396,haryana,2020,4,faridabad,1370,1022011.0
397,haryana,2020,4,rewari,639,442173.0
398,haryana,2020,4,jhajjar,393,324264.0
399,haryana,2020,4,hisar,374,243421.0
400,haryana,2020,4,sonipat,357,304138.0
401,haryana,2020,4,palwal,295,205874.0
402,haryana,2020,4,mahendragarh,271,184572.0
403,haryana,2020,4,panipat,265,148352.0
404,haryana,2020,4,bhiwani,257,204503.0
405,haryana,2021,4,gurugram,5951,6492219.0
406,haryana,2021,4,faridabad,3250,3581730.0
407,haryana,2021,4,rewari,1182,1635811.0
408,haryana,2021,4,sonipat,1000,1514842.0
409,haryana,2021,4,jhajjar,848,1322079.0
410,haryana,2021,4,hisar,717,1163784.0
411,haryana,2021,4,mahendragarh,669,1016832.0
412,haryana,2021,4,panipat,600,903045.0
413,haryana,2021,4,karnal,577,747027.0
414,haryana,2021,4,rohtak,557,1036418.0
415,haryana,2022,4,gurugram,11347,14333166.0
416,haryana,2022,4,faridabad,5980,7492688.0
417,haryana,2022,4,rewari,1987,2881000.0
418,haryana,2022,4,sonipat,1969,3340650.0
419,haryana,2022,4,jhajjar,1582,2713177.0
420,haryana,2022,4,hisar,1413,2309773.0
421,haryana,2022,4,panipat,1375,2059529.0
422,haryana,2022,4,rohtak,1355,2305432.0
423,haryana,2022,4,mahendragarh,1211,1666096.0
424,haryana,2022,4,karnal,1113,2024575.0
425,haryana,2023,4,gurugram,14118,20950373.0
426,haryana,2023,4,faridabad,7244,10321129.0
427,haryana,2023,4,rewari,2540,4615327.0
428,haryana,2023,4,sonipat,2370,4304743.0
429,haryana,2023,4,jhajjar,2040,3606286.0
430,haryana,2023,4,hisar,1999,3705402.0
431,haryana,2023,4,panipat,1919,3130020.0
432,haryana,2023,4,rohtak,1541,2892015.0
433,haryana,2023,4,bhiwani,1439,2523209.0
434,haryana,2023,4,karnal,1422,2515568.0
435,haryana,2024,4,gurugram,16973,25145012.0
436,haryana,2024,4,faridabad,8261,11419458.0
437,haryana,2024,4,rewari,4037,6018179.0
438,haryana,2024,4,sonipat,3330,5335496.0
439,haryana,2024,4,jhajjar,2630,4460177.0
440,haryana,2024,4,hisar,2396,4349181.0
441,haryana,2024,4,rohtak,2112,3678163.0
442,haryana,2024,4,panipat,2026,3004028.0
443,haryana,2024,4,palwal,1824,2933025.0
444,haryana,2024,4,bhiwani,1693,2967792.0
445,himachal-pradesh,2020,4,solan,162,88870.0
446,himachal-pradesh,2020,4,kangra,153,166625.0
447,himachal-pradesh,2020,4,shimla,74,57412.0
448,himachal-pradesh,2020,4,mandi,73,83521.0
449,himachal-pradesh,2020,4,hamirpur,59,57764.0
450,himachal-pradesh,2020,4,una,51,48891.0
451,himachal-pradesh,2020,4,sirmaur,50,47332.0
452,himachal-pradesh,2020,4,chamba,29,20481.0
453,himachal-pradesh,2020,4,kullu,19,14390.0
454,himachal-pradesh,2020,4,bilaspur,19,16248.0
455,himachal-pradesh,2021,4,kangra,535,1087881.0
456,himachal-pradesh,2021,4,solan,506,677171.0
457,himachal-pradesh,2021,4,una,245,489125.0
458,himachal-pradesh,2021,4,hamirpur,234,454797.0
459,himachal-pradesh,2021,4,mandi,216,461966.0
460,himachal-pradesh,2021,4,sirmaur,196,327046.0
461,himachal-pradesh,2021,4,shimla,192,487857.0
462,himachal-pradesh,2021,4,bilaspur,116,195467.0
463,himachal-pradesh,2021,4,kullu,97,207502.0
464,himachal-pradesh,2021,4,chamba,96,184684.0
465,himachal-pradesh,2022,4,kangra,1085,2218111.0
466,himachal-pradesh,2022,4,solan,1009,1741427.0
467,himachal-pradesh,2022,4,sirmaur,432,710927.0
468,himachal-pradesh,2022,4,hamirpur,359,728113.0
469,himachal-pradesh,2022,4,una,353,682027.0
470,himachal-pradesh,2022,4,shimla,341,854465.0
471,himachal-pradesh,2022,4,mandi,310,725635.0
472,himachal-pradesh,2022,4,chamba,249,459421.0
473,himachal-pradesh,2022,4,kullu,175,371574.0
474,himachal-pradesh,2022,4,bilaspur,174,346816.0
475,himachal-pradesh,2023,4,kangra,1319,3070701.0
476,himachal-pradesh,2023,4,solan,1075,2115674.0
477,himachal-pradesh,2023,4,sirmaur,460,988869.0
478,himachal-pradesh,2023,4,hamirpur,437,976800.0
479,himachal-pradesh,2023,4,mandi,430,1051722.0
480,himachal-pradesh,2023,4,una,381,917948.0
481,himachal-pradesh,2023,4,shimla,373,1041293.0
482,himachal-pradesh,2023,4,chamba,287,512946.0
483,himachal-pradesh,2023,4,kullu,205,555859.0
484,himachal-pradesh,2023,4,bilaspur,185,478990.0
485,himachal-pradesh,2024,4,kangra,1686,3420558.0
486,himachal-pradesh,2024,4,solan,1311,2240286.0
487,himachal-pradesh,2024,4,hamirpur,620,1310194.0
488,himachal-pradesh,2024,4,shimla,569,1416469.0
489,himachal-pradesh,2024,4,mandi,521,1111164.0
490,himachal-pradesh,2024,4,una,505,1250921.0
491,himachal-pradesh,2024,4,sirmaur,488,1033480.0
492,himachal-pradesh,2024,4,chamba,377,761585.0
493,himachal-pradesh,2024,4,bilaspur,267,662116.0
494,himachal-pradesh,2024,4,kullu,257,558743.0
495,jammu-&-kashmir,2020,4,jammu,220,234831.0
496,jammu-&-kashmir,2020,4,samba,55,52801.0
497,jammu-&-kashmir,2020,4,srinagar,48,71117.0
498,jammu-&-kashmir,2020,4,kathua,42,48827.0
499,jammu-&-kashmir,2020,4,udhampur,39,38569.0
500,jammu-&-kashmir,2020,4,reasi,34,26958.0
501,jammu-&-kashmir,2020,4,baramulla,29,26838.0
502,jammu-&-kashmir,2020,4,kupwara,26,21107.0
503,jammu-&-kashmir,2020,4,budgam,26,47506.0
504,jammu-&-kashmir,2020,4,poonch,23,26902.0
505,jammu-&-kashmir,2021,4,jammu,918,1563386.0
506,jammu-&-kashmir,2021,4,budgam,628,483043.0
507,jammu-&-kashmir,2021,4,srinagar,193,460213.0
508,jammu-&-kashmir,2021,4,anantnag,155,414820.0
509,jammu-&-kashmir,2021,4,shopian,154,170478.0
510,jammu-&-kashmir,2021,4,kathua,151,264155.0
511,jammu-&-kashmir,2021,4,samba,150,298729.0
512,jammu-&-kashmir,2021,4,pulwama,115,214708.0
513,jammu-&-kashmir,2021,4,udhampur,108,174710.0
