,State,Year,Quater,Transacion_type,hover_count,hover_amount
141,arunachal-pradesh,2022,4,siang district,8,25817.0
142,arunachal-pradesh,2022,4,lower siang district,3,14716.0
143,arunachal-pradesh,2022,4,kra daadi district,2,2861.0
144,arunachal-pradesh,2022,4,changlang district,39,92295.0
145,arunachal-pradesh,2022,4,pakke kessang district,4,9380.0
146,arunachal-pradesh,2022,4,dibang valley district,1,1273.0
147,arunachal-pradesh,2022,4,west kameng district,53,140810.0
148,arunachal-pradesh,2022,4,shi yomi district,1,56.0
149,arunachal-pradesh,2022,4,east siang district,33,62867.0
150,arunachal-pradesh,2022,4,upper subansiri district,7,6741.0
151,arunachal-pradesh,2022,4,east kameng district,11,18432.0
152,arunachal-pradesh,2022,4,lohit district,35,74057.0
153,arunachal-pradesh,2022,4,lepa rada district,4,11158.0
154,arunachal-pradesh,2022,4,tawang district,32,117810.0
155,arunachal-pradesh,2022,4,namsai district,25,52176.0
156,arunachal-pradesh,2023,4,lower dibang valley district,35,81825.0
157,arunachal-pradesh,2023,4,lower subansiri district,13,21089.0
158,arunachal-pradesh,2023,4,longding district,6,19165.0
159,arunachal-pradesh,2023,4,west siang district,48,119227.0
160,arunachal-pradesh,2023,4,kamle district,1,11668.0
161,arunachal-pradesh,2023,4,upper siang district,10,22705.0
162,arunachal-pradesh,2023,4,tirap district,32,74981.0
163,arunachal-pradesh,2023,4,papum pare district,318,852980.0
164,arunachal-pradesh,2023,4,kurung kumey district,4,1354.0
165,arunachal-pradesh,2023,4,anjaw district,3,18810.0
166,arunachal-pradesh,2023,4,siang district,2,4226.0
167,arunachal-pradesh,2023,4,lower siang district,9,42641.0
168,arunachal-pradesh,2023,4,changlang district,47,94883.0
169,arunachal-pradesh,2023,4,pakke kessang district,3,1695.0
170,arunachal-pradesh,2023,4,dibang valley district,2,20681.0
171,arunachal-pradesh,2023,4,west kameng district,67,190405.0
172,arunachal-pradesh,2023,4,shi yomi district,2,6149.0
173,arunachal-pradesh,2023,4,east siang district,42,109484.0
174,arunachal-pradesh,2023,4,upper subansiri district,14,19213.0
175,arunachal-pradesh,2023,4,east kameng district,18,17324.0
176,arunachal-pradesh,2023,4,lohit district,34,77356.0
177,arunachal-pradesh,2023,4,lepa rada district,5,9401.0
178,arunachal-pradesh,2023,4,tawang district,45,167579.0
179,arunachal-pradesh,2023,4,namsai district,49,120567.0
180,arunachal-pradesh,2024,4,lower subansiri district,35,61313.0
181,arunachal-pradesh,2024,4,tirap district,35,86267.0
182,arunachal-pradesh,2024,4,papum pare district,61,126855.0
183,arunachal-pradesh,2024,4,anjaw district,15,27869.0
184,arunachal-pradesh,2024,4,lower siang district,14,33797.0
185,arunachal-pradesh,2024,4,dibang valley district,8,11260.0
186,arunachal-pradesh,2024,4,west kameng district,117,277233.0
187,arunachal-pradesh,2024,4,shi yomi district,3,5772.0
188,arunachal-pradesh,2024,4,east kameng district,13,9130.0
189,arunachal-pradesh,2024,4,lohit district,34,82796.0
190,arunachal-pradesh,2024,4,lepa rada district,10,35085.0
191,arunachal-pradesh,2024,4,lower dibang valley district,34,63459.0
192,arunachal-pradesh,2024,4,longding district,11,54596.0
193,arunachal-pradesh,2024,4,itanagar capital complex district,240,638964.0
194,arunachal-pradesh,2024,4,west siang district,55,118386.0
195,arunachal-pradesh,2024,4,kamle district,6,66.0
196,arunachal-pradesh,2024,4,upper siang district,15,10761.0
197,arunachal-pradesh,2024,4,kurung kumey district,4,3824.0
198,arunachal-pradesh,2024,4,siang district,7,24849.0
199,arunachal-pradesh,2024,4,kra daadi district,2,1068.0
200,arunachal-pradesh,2024,4,changlang district,55,85559.0
201,arunachal-pradesh,2024,4,pakke kessang district,4,3434.0
202,arunachal-pradesh,2024,4,east siang district,89,235678.0
203,arunachal-pradesh,2024,4,upper subansiri district,23,44909.0
204,arunachal-pradesh,2024,4,tawang district,68,223139.0
205,arunachal-pradesh,2024,4,namsai district,41,93403.0
206,assam,2020,4,tinsukia district,121,110036.0
207,assam,2020,4,lakhimpur district,67,58751.0
208,assam,2020,4,kamrup district,110,73472.0
209,assam,2020,4,kokrajhar district,54,30297.0
210,assam,2020,4,karbi anglong district,29,13855.0
211,assam,2020,4,sivasagar district,48,41901.0
212,assam,2020,4,dibrugarh district,97,85549.0
213,assam,2020,4,south salmara mancachar district,10,6446.0
214,assam,2020,4,nagaon district,147,104375.0
215,assam,2020,4,dhubri district,62,32215.0
216,assam,2020,4,golaghat district,54,56656.0
217,assam,2020,4,udalguri district,27,20128.0
218,assam,2020,4,majuli district,7,2174.0
219,assam,2020,4,sonitpur district,101,76365.0
220,assam,2020,4,hojai district,50,28113.0
221,assam,2020,4,marigaon district,34,19642.0
222,assam,2020,4,chirang district,13,8033.0
223,assam,2020,4,cachar district,91,63874.0
224,assam,2020,4,nalbari district,49,25777.0
225,assam,2020,4,west karbi anglong district,13,9967.0
226,assam,2020,4,dhemaji district,48,26663.0
227,assam,2020,4,karimganj district,45,24940.0
228,assam,2020,4,bongaigaon district,69,45817.0
229,assam,2020,4,dima hasao district,5,4452.0
230,assam,2020,4,baksa district,46,29371.0
231,assam,2020,4,charaideo district,21,18610.0
232,assam,2020,4,darrang district,57,39620.0
233,assam,2020,4,kamrup metropolitan district,626,534531.0
234,assam,2020,4,hailakandi district,22,14368.0
235,assam,2020,4,barpeta district,121,89658.0
236,assam,2020,4,goalpara district,50,28453.0
237,assam,2020,4,biswanath district,37,21580.0
238,assam,2020,4,jorhat district,82,61112.0
239,assam,2021,4,tinsukia district,376,622789.0
240,assam,2021,4,lakhimpur district,210,371675.0
241,assam,2021,4,kamrup district,360,561224.0
242,assam,2021,4,kokrajhar district,107,213000.0
243,assam,2021,4,karbi anglong district,232,416010.0
244,assam,2021,4,sivasagar district,163,327216.0
245,assam,2021,4,dibrugarh district,422,720457.0
246,assam,2021,4,south salmara mancachar district,32,64000.0
247,assam,2021,4,nagaon district,450,872663.0
248,assam,2021,4,dhubri district,255,370821.0
249,assam,2021,4,golaghat district,174,336881.0
250,assam,2021,4,udalguri district,146,227377.0
251,assam,2021,4,majuli district,49,96903.0
252,assam,2021,4,sonitpur district,415,668817.0
253,assam,2021,4,hojai district,132,240963.0
254,assam,2021,4,marigaon district,154,212999.0
255,assam,2021,4,chirang district,63,116323.0
256,assam,2021,4,cachar district,322,545014.0
257,assam,2021,4,nalbari district,162,263611.0
258,assam,2021,4,west karbi anglong district,11,19760.0
259,assam,2021,4,dhemaji district,76,152746.0
260,assam,2021,4,karimganj district,164,341261.0
261,assam,2021,4,bongaigaon district,191,314157.0
262,assam,2021,4,dima hasao district,42,84904.0
263,assam,2021,4,baksa district,163,312400.0
264,assam,2021,4,charaideo district,135,257951.0
265,assam,2021,4,darrang district,204,275280.0
266,assam,2021,4,kamrup metropolitan district,2250,2848340.0
267,assam,2021,4,hailakandi district,133,215862.0
268,assam,2021,4,barpeta district,470,805931.0
269,assam,2021,4,goalpara district,138,286804.0
270,assam,2021,4,biswanath district,164,254489.0
271,assam,2021,4,jorhat district,257,543440.0
272,assam,2022,4,tinsukia district,650,1190417.0
273,assam,2022,4,lakhimpur district,481,987421.0
274,assam,2022,4,kamrup district,864,1321583.0
275,assam,2022,4,kokrajhar district,248,399610.0
276,assam,2022,4,karbi anglong district,223,460647.0
277,assam,2022,4,sivasagar district,325,682334.0
278,assam,2022,4,dibrugarh district,1094,1961516.0
279,assam,2022,4,south salmara mancachar district,47,79674.0
280,assam,2022,4,nagaon district,731,1242807.0
281,assam,2022,4,dhubri district,440,685471.0
282,assam,2022,4,golaghat district,364,699346.0
283,assam,2022,4,udalguri district,294,484680.0
284,assam,2022,4,majuli district,51,102990.0
285,assam,2022,4,sonitpur district,1095,1672604.0
286,assam,2022,4,hojai district,288,429044.0
287,assam,2022,4,marigaon district,285,439105.0
288,assam,2022,4,chirang district,153,255188.0
289,assam,2022,4,cachar district,705,1215813.0
290,assam,2022,4,nalbari district,357,558094.0
291,assam,2022,4,west karbi anglong district,36,52843.0
292,assam,2022,4,dhemaji district,205,412365.0
293,assam,2022,4,karimganj district,426,751744.0
294,assam,2022,4,bongaigaon district,371,587173.0
295,assam,2022,4,dima hasao district,87,226834.0
296,assam,2022,4,baksa district,336,613815.0
297,assam,2022,4,charaideo district,208,407568.0
298,assam,2022,4,darrang district,404,546464.0
299,assam,2022,4,kamrup metropolitan district,5835,7067068.0
300,assam,2022,4,hailakandi district,209,397354.0
301,assam,2022,4,barpeta district,845,1263373.0
302,assam,2022,4,goalpara district,308,500489.0
303,assam,2022,4,biswanath district,255,529513.0
304,assam,2022,4,jorhat district,606,1014221.0
305,assam,2023,4,tinsukia district,899,1734025.0
306,assam,2023,4,lakhimpur district,580,1154255.0
307,assam,2023,4,kamrup district,1106,1685946.0
308,assam,2023,4,kokrajhar district,557,881781.0
309,assam,2023,4,karbi anglong district,388,663712.0
310,assam,2023,4,sivasagar district,386,853385.0
311,assam,2023,4,dibrugarh district,1311,2554356.0
312,assam,2023,4,south salmara mancachar district,96,128706.0
313,assam,2023,4,nagaon district,1095,1810718.0
314,assam,2023,4,dhubri district,755,1083292.0
315,assam,2023,4,golaghat district,411,875674.0
316,assam,2023,4,udalguri district,428,754070.0
317,assam,2023,4,majuli district,105,184560.0
318,assam,2023,4,sonitpur district,1353,2337321.0
319,assam,2023,4,hojai district,393,702120.0
320,assam,2023,4,marigaon district,381,577757.0
321,assam,2023,4,chirang district,244,383486.0
322,assam,2023,4,cachar district,737,1308876.0
323,assam,2023,4,nalbari district,434,675675.0
324,assam,2023,4,west karbi anglong district,57,140753.0
325,assam,2023,4,dhemaji district,235,518064.0
326,assam,2023,4,karimganj district,529,883271.0
327,assam,2023,4,bongaigaon district,568,968920.0
328,assam,2023,4,dima hasao district,84,198611.0
329,assam,2023,4,baksa district,444,716744.0
330,assam,2023,4,charaideo district,262,476074.0
331,assam,2023,4,darrang district,604,872840.0
332,assam,2023,4,kamrup metropolitan district,5317,7719481.0
333,assam,2023,4,hailakandi district,290,569175.0
334,assam,2023,4,barpeta district,1163,1993408.0
335,assam,2023,4,goalpara district,578,972465.0
336,assam,2023,4,biswanath district,415,801437.0
337,assam,2023,4,jorhat district,963,1550776.0
338,assam,2024,4,tinsukia district,816,1517962.0
339,assam,2024,4,lakhimpur district,503,965428.0
340,assam,2024,4,kamrup district,1090,1561314.0
341,assam,2024,4,kokrajhar district,563,850052.0
342,assam,2024,4,karbi anglong district,291,468379.0
343,assam,2024,4,sivasagar district,372,693398.0
344,assam,2024,4,dibrugarh district,1204,2506223.0
345,assam,2024,4,nagaon district,1012,1552864.0
346,assam,2024,4,dhubri district,722,925125.0
347,assam,2024,4,golaghat district,496,923983.0
348,assam,2024,4,udalguri district,383,631702.0
349,assam,2024,4,morigaon district,386,564533.0
350,assam,2024,4,majuli district,54,89358.0
351,assam,2024,4,sonitpur district,1136,1890760.0
352,assam,2024,4,bajali district,132,240666.0
353,assam,2024,4,hojai district,503,862449.0
354,assam,2024,4,chirang district,280,490432.0
355,assam,2024,4,cachar district,833,1281628.0
356,assam,2024,4,nalbari district,436,668108.0
357,assam,2024,4,west karbi anglong district,57,70725.0
358,assam,2024,4,dhemaji district,263,494481.0
359,assam,2024,4,karimganj district,485,737421.0
360,assam,2024,4,bongaigaon district,559,816147.0
361,assam,2024,4,dima hasao district,98,182856.0
362,assam,2024,4,baksa district,354,507021.0
363,assam,2024,4,charaideo district,244,479774.0
364,assam,2024,4,darrang district,582,740144.0
365,assam,2024,4,kamrup metropolitan district,4694,7306786.0
366,assam,2024,4,hailakandi district,248,525249.0
367,assam,2024,4,south salmara mankachar district,181,209178.0
368,assam,2024,4,barpeta district,972,1389291.0
369,assam,2024,4,goalpara district,647,1000066.0
370,assam,2024,4,biswanath district,424,805478.0
371,assam,2024,4,jorhat district,663,1209024.0
372,assam,2024,4,tamulpur district,122,178224.0
373,bihar,2020,4,madhepura district,126,75974.0
374,bihar,2020,4,purnia district,242,168783.0
375,bihar,2020,4,nalanda district,261,200124.0
376,bihar,2020,4,buxar district,114,120688.0
377,bihar,2020,4,darbhanga district,375,329076.0
378,bihar,2020,4,nawada district,135,95287.0
379,bihar,2020,4,jamui district,102,60007.0
380,bihar,2020,4,sheikhpura district,38,44180.0
381,bihar,2020,4,siwan district,261,259428.0
382,bihar,2020,4,muzaffarpur district,616,462851.0
383,bihar,2020,4,patna district,1831,1396144.0
384,bihar,2020,4,jehanabad district,82,61829.0
385,bihar,2020,4,rohtas district,231,170841.0
386,bihar,2020,4,begusarai district,300,260192.0
387,bihar,2020,4,supaul district,133,85336.0
388,bihar,2020,4,sitamarhi district,228,175510.0
389,bihar,2020,4,saran district,410,376021.0
390,bihar,2020,4,arwal district,57,50923.0
391,bihar,2020,4,vaishali district,445,381786.0
392,bihar,2020,4,pashchim champaran district,298,181558.0
393,bihar,2020,4,gopalganj district,234,205451.0
394,bihar,2020,4,lakhisarai district,79,58544.0
395,bihar,2020,4,aurangabad district,207,163931.0
396,bihar,2020,4,kaimur bhabua district,56,44044.0
397,bihar,2020,4,araria district,167,99884.0
398,bihar,2020,4,munger district,134,117691.0
399,bihar,2020,4,katihar district,187,140608.0
400,bihar,2020,4,khagaria district,119,98847.0
401,bihar,2020,4,saharsa district,195,148251.0
402,bihar,2020,4,bhagalpur district,332,281912.0
403,bihar,2020,4,madhubani district,362,312107.0
404,bihar,2020,4,kishanganj district,97,89033.0
405,bihar,2020,4,gaya district,366,260585.0
406,bihar,2020,4,samastipur district,404,405354.0
407,bihar,2020,4,banka district,90,68459.0
408,bihar,2020,4,purbi champaran district,336,195193.0
409,bihar,2020,4,sheohar district,74,54287.0
410,bihar,2020,4,bhojpur district,189,160213.0
411,bihar,2021,4,madhepura district,235,291320.0
412,bihar,2021,4,purnia district,534,691330.0
413,bihar,2021,4,nalanda district,638,836936.0
414,bihar,2021,4,buxar district,357,473522.0
415,bihar,2021,4,darbhanga district,793,870539.0
416,bihar,2021,4,nawada district,231,311902.0
417,bihar,2021,4,jamui district,215,298038.0
418,bihar,2021,4,sheikhpura district,192,215533.0
419,bihar,2021,4,siwan district,597,798018.0
420,bihar,2021,4,muzaffarpur district,1372,1563252.0
421,bihar,2021,4,patna district,5114,5291931.0
422,bihar,2021,4,jehanabad district,235,280296.0
423,bihar,2021,4,rohtas district,441,655467.0
424,bihar,2021,4,begusarai district,719,859763.0
425,bihar,2021,4,supaul district,262,359714.0
426,bihar,2021,4,sitamarhi district,439,563725.0
427,bihar,2021,4,saran district,880,1231657.0
428,bihar,2021,4,arwal district,109,145040.0
429,bihar,2021,4,vaishali district,1036,1200374.0
430,bihar,2021,4,pashchim champaran district,528,724994.0
431,bihar,2021,4,gopalganj district,447,608537.0
432,bihar,2021,4,lakhisarai district,136,194737.0
433,bihar,2021,4,aurangabad district,379,488037.0
434,bihar,2021,4,kaimur bhabua district,151,222765.0
435,bihar,2021,4,araria district,251,336920.0
436,bihar,2021,4,munger district,363,430673.0
437,bihar,2021,4,katihar district,500,630279.0
438,bihar,2021,4,khagaria district,264,291457.0
439,bihar,2021,4,saharsa district,273,347747.0
440,bihar,2021,4,bhagalpur district,818,990253.0
441,bihar,2021,4,madhubani district,662,932401.0
442,bihar,2021,4,kishanganj district,150,175979.0
443,bihar,2021,4,gaya district,801,890348.0
444,bihar,2021,4,samastipur district,836,1098032.0
445,bihar,2021,4,banka district,255,418421.0
446,bihar,2021,4,purbi champaran district,667,874730.0
447,bihar,2021,4,sheohar district,98,104185.0
448,bihar,2021,4,bhojpur district,478,614961.0
449,bihar,2022,4,madhepura district,388,475077.0
450,bihar,2022,4,purnia district,915,1262372.0
451,bihar,2022,4,nalanda district,944,1190812.0
452,bihar,2022,4,buxar district,379,527851.0
453,bihar,2022,4,darbhanga district,1183,1530684.0
454,bihar,2022,4,nawada district,366,519474.0
455,bihar,2022,4,jamui district,653,767702.0
456,bihar,2022,4,sheikhpura district,157,217169.0
457,bihar,2022,4,siwan district,846,1156245.0
458,bihar,2022,4,muzaffarpur district,2305,2622512.0
459,bihar,2022,4,patna district,7741,8886520.0
460,bihar,2022,4,jehanabad district,337,394075.0
461,bihar,2022,4,rohtas district,615,960045.0
462,bihar,2022,4,begusarai district,1065,1313395.0
463,bihar,2022,4,supaul district,338,451200.0
464,bihar,2022,4,sitamarhi district,720,819838.0
465,bihar,2022,4,saran district,1260,1760294.0
466,bihar,2022,4,arwal district,183,252011.0
467,bihar,2022,4,vaishali district,1553,1950312.0
468,bihar,2022,4,pashchim champaran district,639,899415.0
469,bihar,2022,4,gopalganj district,493,817014.0
470,bihar,2022,4,lakhisarai district,232,352021.0
471,bihar,2022,4,aurangabad district,526,855196.0
472,bihar,2022,4,kaimur bhabua district,236,382037.0
473,bihar,2022,4,araria district,419,605578.0
474,bihar,2022,4,munger district,547,725502.0
475,bihar,2022,4,katihar district,737,1086841.0
476,bihar,2022,4,khagaria district,439,648593.0
477,bihar,2022,4,saharsa district,473,577623.0
478,bihar,2022,4,bhagalpur district,1277,1839829.0
479,bihar,2022,4,madhubani district,930,1430124.0
480,bihar,2022,4,kishanganj district,270,388500.0
481,bihar,2022,4,gaya district,1156,1515312.0
